#Anexo 2.4. PASEM2019_Decesos_1er.2orden,,,
#,Mujeres,Hombres,,
#,qx base 2019 en tanto por mil,qx base 2019 en tanto por mil,,
edad,PASEM2020_qx_F_2orden,PASEM2020_qx_F_1orden,PASEM2020_Decesos_F_2orden,PASEM2020_Decesos_M_2orden
0,2.805851366,3.20604918,100000,100000
1,0.200130118,0.230778122,99719.41486,99679.39508
2,0.164765186,0.192683169,99699.45801,99656.39126
3,0.133047055,0.158452921,99683.03101,99637.18915
4,0.107133777,0.130295782,99669.76847,99621.40135
5,0.088812004,0.110420154,99659.09047,99608.4211
6,0.077123664,0.097929097,99650.23955,99597.42232
7,0.070885487,0.09171596,99642.55416,99587.66883
8,0.067454361,0.088756628,99635.49095,99578.53506
9,0.06650237,0.089034421,99628.7701,99569.6968
10,0.06921699,0.09474788,99622.14455,99560.83167
11,0.075683847,0.106958886,99615.249,99551.39849
12,0.08754826,0.129496801,99607.70974,99540.75059
13,0.103982582,0.163392427,99598.98926,99527.86038
14,0.124058596,0.209743463,99588.6327,99511.59828
15,0.146251989,0.268096333,99576.27787,99490.72637
16,0.167219861,0.332590074,99561.71464,99464.05327
17,0.184853062,0.39634626,99545.06595,99430.97252
18,0.173462736,0.396282412,99526.66474,99391.56342
19,0.168461797,0.40437532,99509.40057,99352.17629
20,0.166504984,0.414345854,99492.63704,99312.00072
21,0.166555213,0.424972246,99476.07102,99270.85121
22,0.168495412,0.437331213,99459.50276,99228.66385
23,0.170798522,0.448589908,99442.74429,99185.26806
24,0.173230136,0.458780014,99425.75961,99140.77455
25,0.175174151,0.466343355,99408.53608,99095.29074
26,0.175763446,0.468452704,99391.12227,99049.07831
27,0.175477112,0.465436571,99373.65294,99002.67851
28,0.174788432,0.457676057,99356.21514,98956.59904
29,0.174261093,0.446216651,99338.84883,98911.30897
30,0.176086473,0.436667959,99321.53793,98867.1731
31,0.18070207,0.43010031,99304.04875,98824.00097
32,0.189573274,0.429971968,99286.1043,98781.49674
33,0.204685708,0.440356061,99267.28231,98739.02346
34,0.228131928,0.464741269,99246.96372,98695.54314
35,0.26085301,0.50380472,99224.32232,98649.67524
36,0.300313186,0.552049565,99198.43935,98599.97507
37,0.344407173,0.606270634,99168.64875,98545.543
38,0.390448848,0.663296837,99134.49436,98485.79773
39,0.437277833,0.723273983,99095.78741,98420.47241
40,0.485981314,0.790187617,99052.45502,98349.28745
41,0.537587284,0.867812001,99004.31738,98271.57306
42,0.62112555,1.005094539,98951.09391,98186.29181
43,0.721682799,1.180676906,98889.63286,98087.6053
44,0.836637257,1.393065385,98818.26591,97971.79553
45,0.963711943,1.640112676,98735.59087,97835.31441
46,1.105449959,1.926070367,98640.4382,97674.85347
47,1.268260467,2.260835836,98531.39614,97486.72483
48,1.449218426,2.637130266,98406.43266,97266.32335
49,1.652847305,3.060980024,98263.82025,97009.81939
50,1.876412514,3.526855491,98101.40515,96712.87427
51,2.051143391,3.906110258,97917.32645,96371.78194
52,2.233961269,4.309346169,97716.48397,95995.34313
53,2.420964133,4.736066721,97498.18913,95581.66597
54,2.609354005,5.187973697,97262.14951,95128.98482
55,2.798469899,5.668331847,97008.35813,94635.45815
56,2.990143867,6.181650452,96736.88316,94099.03297
57,3.187958308,6.731832683,96447.62597,93517.34564
58,3.396868542,7.321739054,96140.15496,92887.80251
59,3.622873364,7.95330911,95813.57949,92207.70226
60,3.872264106,8.627434147,95466.45902,91474.3459
61,4.151421534,9.345440067,95096.78768,90685.15701
62,4.466726677,10.11179232,94702.00083,89837.66431
63,4.823635038,10.93374998,94278.99288,88929.2445
64,5.227061804,11.82184038,93824.22542,87956.91438
65,5.681659023,12.78950414,93333.8004,86917.10178
66,6.193037011,13.85240367,92803.50957,85805.47514
67,6.770304599,15.02952626,92228.774,84616.86306
68,7.427337315,16.34267123,91604.35711,83345.1117
69,8.183803839,17.81574647,90923.98065,81983.02994
70,9.065740068,19.4767238,90179.87662,80522.44106
71,10.1047752,21.3578528,89362.3293,78954.12772
72,11.33512486,23.49596587,88459.34305,77267.83708
73,12.7879423,25.92932147,87456.64536,75452.35462
74,14.48687399,28.69777997,86338.25482,73495.92626
75,16.45069695,31.84200389,85087.4834,71386.75634
76,18.70495619,35.40569483,83687.735,69113.65897
77,21.29758121,39.43870207,82122.35958,66666.64185
78,24.30461559,43.99507361,80373.35196,64037.39602
79,27.83001342,49.13500743,78419.90854,61220.06607
80,31.99606275,54.92370745,76237.48143,58212.01767
81,36.96332154,61.48676091,73798.18219,55014.79784
82,42.86939337,68.91700597,71070.35625,51632.11612
83,49.84514086,77.31351221,68023.61319,48073.78527
84,58.01238495,86.7823497,64632.96661,44357.03208
85,67.48272118,97.4306991,60883.45407,40507.62461
86,78.35704661,109.3610909,56774.87292,36560.93843
87,90.72993812,122.6703686,52326.16155,32562.59432
88,104.6897199,137.4401388,47578.61215,28568.12887
89,120.314451,153.7235058,42597.62057,24641.72127
90,137.6768241,171.5432802,37472.51124,20853.70949
91,156.8461146,190.8868348,32313.4149,17276.39576
92,177.9046701,211.7287282,27245.18133,13978.55926
93,200.9450698,234.0418028,22398.13633,11018.89668
94,226.0562918,257.8264736,17897.34126,8440.014238
95,253.2911741,283.12482,13851.53466,6263.95513
96,282.5970109,309.9784585,10343.06318,4490.473961
97,313.7950305,338.4052247,7420.144444,3098.523765
98,346.5976668,368.3865145,5091.739992,2049.967134
99,380.6685533,399.8654342,3326.954791,1294.786887
100,432.9620497,449.639255,2060.487724,777.0463661
101,492.4481239,506.492253,1168.374736,427.6558169
102,560.9949442,572.5403067,593.010789,211.0514587
103,636.5695133,645.7958204,260.3347345,90.2159918
104,716.1642297,723.2906495,94.61357926,31.95488136
105,796.1671995,801.4450292,26.85471815,8.842214465
106,872.7325488,876.4365034,5.473872407,1.755665635
107,942.1507361,944.5688538,0.696645789,0.216936185
108,1000,1000,0.040300446,0.012025021
109,1000,1000,0,0
