Siniestro;Poliza;Fec_ocu;Fec_com;Fec_pago;Importe
1;63920;2016-09-12;2016-09-21;2017-07-03;257
2;65054;2017-11-20;2018-01-03;2018-02-02;197
3;62041;2013-06-10;2013-06-25;2013-07-15;201
4;61398;2013-09-17;2013-10-05;2018-09-20;191
5;67250;2017-06-30;2017-07-12;2017-09-30;112
6;61868;2015-10-28;2015-11-12;2015-12-27;200
7;66375;2016-08-23;2016-09-04;2017-08-18;133
8;64135;2016-11-16;2016-12-01;2017-01-10;202
9;60485;2013-10-29;2013-11-08;2013-11-18;171
10;60563;2018-05-27;2018-06-11;2018-07-11;238
11;67583;2013-04-10;2013-04-29;2013-05-19;186
12;62508;2013-09-21;2013-10-08;2017-02-18;194
13;67376;2014-10-04;2014-10-24;2014-12-03;150
14;60748;2018-09-14;2018-09-26;2018-10-06;220
15;68939;2014-07-17;2014-08-03;2014-09-02;186
16;63964;2016-11-29;2017-01-08;2017-02-17;219
17;67331;2018-03-12;2018-03-15;2018-11-23;227
18;69686;2017-03-16;2017-03-23;2017-05-02;225
19;65718;2014-08-21;2014-09-09;2014-09-19;184
20;60995;2016-05-14;2016-06-03;2016-07-03;117
21;65001;2013-01-08;2013-01-17;2013-02-26;146
22;64262;2013-11-14;2013-12-01;2014-01-10;228
23;64616;2013-08-03;2013-08-20;2014-10-23;235
24;65921;2014-07-29;2014-08-10;2018-08-15;246
25;63013;2018-09-29;2018-10-08;2018-10-31;171
26;61786;2016-01-07;2016-01-26;2016-02-15;154
27;60914;2016-07-10;2016-07-30;2018-01-24;231
28;61443;2013-09-29;2013-10-12;2013-11-01;229
29;67711;2013-06-18;2013-07-08;2013-08-07;195
30;64295;2016-05-03;2016-05-14;2016-05-24;194
31;68921;2015-03-05;2015-03-20;2015-04-09;139
32;61135;2016-12-22;2017-01-29;2018-12-17;185
33;67193;2015-06-18;2015-06-25;2018-03-18;248
34;64084;2017-03-19;2017-04-05;2017-04-15;156
